original_path	before_bytes	after_bytes	width	height	mode	status	new_path
public/imgs/serii favorite/icon ep/cc 1.1.png	14455	11916	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/cc 1.1.webp
public/imgs/serii favorite/icon ep/cc.png	5124	2132	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/cc.webp
public/imgs/serii favorite/icon ep/eye 1.1.png	13544	12230	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/eye 1.1.webp
public/imgs/serii favorite/icon ep/eye.png	13698	11946	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/eye.webp
public/imgs/serii favorite/icon ep/fire.png	17348	15578	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/fire.webp
public/imgs/serii favorite/icon ep/microfon 1.1.png	14644	12496	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/microfon 1.1.webp
public/imgs/serii favorite/icon ep/microphone.png	11474	9412	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon ep/microphone.webp
public/imgs/serii favorite/icon pop/Anime end.png	17170	4646	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon pop/Anime end.webp
public/imgs/serii favorite/icon pop/chapter.png	9633	4284	512	512	RGBA	CONVERTED	public/imgs/serii favorite/icon pop/chapter.webp
public/imgs/serii favorite/numar 1-10/1.png	2135530	134602	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/1.webp
public/imgs/serii favorite/numar 1-10/10.png	2125996	128450	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/10.webp
public/imgs/serii favorite/numar 1-10/2.png	1327611	111064	1024	1024	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/2.webp
public/imgs/serii favorite/numar 1-10/3.png	2194426	176136	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/3.webp
public/imgs/serii favorite/numar 1-10/4.png	2123087	122458	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/4.webp
public/imgs/serii favorite/numar 1-10/5.png	2158853	149418	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/5.webp
public/imgs/serii favorite/numar 1-10/6.png	77227	17686	408	612	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/6.webp
public/imgs/serii favorite/numar 1-10/7.png	2134794	132916	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/7.webp
public/imgs/serii favorite/numar 1-10/8.png	2162061	148450	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/8.webp
public/imgs/serii favorite/numar 1-10/9.png	2161714	147260	1024	1536	RGBA	CONVERTED	public/imgs/serii favorite/numar 1-10/9.webp
